 2945/0xbe0f208:  fork()		 = 0 0
 2945/0xbe0f208:  socket(0x2, 0x1, 0x0)		 = 4 0
 2945/0xbe0f208:  setsockopt(0x4, 0xFFFF, 0x4)		 = 0 0
 2945/0xbe0f208:  bind(0x4, 0xBFFFDF0C, 0x10)		 = 0 0
 2945/0xbe0f208:  listen(0x4, 0x5, 0x10)		 = 0 0
 2945/0xbe0f208:  bsdthread_create(0x1B7850, 0x3814F0, 0x80000)		 = -1341116416 0
 2945/0xbb2dc80:  fork()		 = 0 0
 2945/0xbb2dc80:  __semwait_signal(0xB03, 0xC03, 0x0)		 = 0 0
 2945/0xbe0f208:  select(0x0, 0x0, 0x0, 0x0, 0xBFFFE110)		 = 0 0
 2945/0xbe0f208:  socket(0x2, 0x1, 0x0)		 = 5 0
 2945/0xbe0f208:  setsockopt(0x5, 0xFFFF, 0x4)		 = 0 0
 2945/0xbe0f208:  bind(0x5, 0xBFFFDF0C, 0x10)		 = 0 0
 2945/0xbe0f208:  listen(0x5, 0x5, 0x10)		 = 0 0
 2945/0xbe0f208:  bsdthread_create(0x1B7850, 0x38B4B0, 0x80000)		 = -1340583936 0
 2945/0x91565d0:  fork()		 = 0 0
 2945/0x91565d0:  __semwait_signal(0xB03, 0xC03, 0x0)		 = 0 0
 2945/0xbe0f208:  select(0x0, 0x0, 0x0, 0x0, 0xBFFFE060)		 = 0 0
 2945/0xbe0f208:  __sysctl(0x46F2D4, 0x2, 0x46FCD4)		 = 0 0
 2945/0xbe0f208:  __sysctl(0x46FCD4, 0x2, 0x46FE64)		 = 0 0
 2945/0xbe0f208:  fstat64(0x1, 0xBFFFDF14, 0x46FE64)		 = 0 0
 2945/0xbe0f208:  ioctl(0x1, 0x4004667A, 0xBFFFDF7C)		 = 0 0
 2945/0xbe0f208:  write_nocancel(0x1, "1.50540304184\0", 0xD)		 = 13 0
 2945/0xbe0f208:  __sysctl(0x46FE64, 0x2, 0x46F2D4)		 = 0 0
 2945/0xbe0f208:  __sysctl(0x46F2D4, 0x2, 0x46FCD4)		 = 0 0
 2945/0x91565d0:  select(0x0, 0x0, 0x0, 0x0, 0xB0184220)		 = 0 0
 2945/0xbe0f208:  write_nocancel(0x1, " \0", 0x1)		 = 1 0
 2945/0xbe0f208:  __sysctl(0x46FCD4, 0x2, 0x46FE64)		 = 0 0
 2945/0xbe0f208:  __sysctl(0x46FE64, 0x2, 0x46F2D4)		 = 0 0
 2945/0xbe0f208:  write_nocancel(0x1, "Forwarder Started on.5\0", 0x14)		 = 20 0
 2945/0xbe0f208:  __sysctl(0x46F2D4, 0x2, 0x46FCD4)		 = 0 0
 2945/0xbe0f208:  __sysctl(0x46FCD4, 0x2, 0x46FE64)		 = 0 0
 2945/0xbe0f208:  write_nocancel(0x1, " erDictmodule.so\0", 0x1)		 = 1 0
 2945/0xbe0f208:  __sysctl(0x46FE64, 0x2, 0x46F2D4)		 = 0 0
 2945/0xbe0f208:  __sysctl(0x46F2D4, 0x2, 0x46FCD4)		 = 0 0
 2945/0xbe0f208:  write_nocancel(0x1, "192.168.1.127\0", 0xD)		 = 13 0
 2945/0xbe0f208:  __sysctl(0x46FCD4, 0x2, 0x46FE64)		 = 0 0
 2945/0xbe0f208:  __sysctl(0x46FE64, 0x2, 0x46F2D4)		 = 0 0
 2945/0xbe0f208:  write_nocancel(0x1, "\n\0", 0x1)		 = 1 0
 2945/0xbe0f208:  __sysctl(0x46F2D4, 0x2, 0x46FCD4)		 = 0 0
 2945/0xbe0f208:  __sysctl(0x46FCD4, 0x2, 0x46FE64)		 = 0 0
 2945/0x91565d0:  select(0x0, 0x0, 0x0, 0x0, 0xB0184220)		 = 0 0
 2945/0x91565d0:  select(0x0, 0x0, 0x0, 0x0, 0xB0184220)		 = 0 0
 2945/0x91565d0:  select(0x7, 0x0, 0xB0183828, 0x0, 0xB01838A8)		 = 1 0
 2945/0x91565d0:  connect(0x6, 0xB0183928, 0x10)		 = -1 Err#56
 2945/0x91565d0:  fcntl(0x6, 0x3, 0x0)		 = 6 0
 2945/0x91565d0:  fcntl(0x6, 0x4, 0x2)		 = 0 0
 2945/0x91565d0:  sendto(0x6, 0x6FF534, 0x3)		 = 3 0
 2945/0x91565d0:  __sysctl(0x46FEB4, 0x2, 0x46F2D4)		 = 0 0
 2945/0x91565d0:  sendto(0x6, 0x46FE44, 0x33)		 = 51 0
 2945/0x91565d0:  __sysctl(0x46F2D4, 0x2, 0x46FCD4)		 = 0 0
 2945/0x91565d0:  __sysctl(0x46FE64, 0x2, 0x46FCD4)		 = 0 0
 2945/0x91565d0:  recvfrom(0x6, 0x6FF5D4, 0x1)		 = 1 0
 2945/0x91565d0:  __sysctl(0x46FCD4, 0x2, 0x46FEB4)		 = 0 0
 2945/0x91565d0:  __sysctl(0x46FEB4, 0x2, 0x46FE64)		 = 0 0
 2945/0x91565d0:  select(0x7, 0xB01837F8, 0xB0183778, 0xB01836F8, 0xB0183878)		 = 1 0
 2945/0x91565d0:  recvfrom(0x6, 0x6FF494, 0x1)		 = 1 0
 2945/0x91565d0:  __sysctl(0x46FE64, 0x2, 0x46FCD4)		 = 0 0
 2945/0x91565d0:  __sysctl(0x46FCD4, 0x2, 0x46FEB4)		 = 0 0
 2945/0x91565d0:  select(0x7, 0xB01837F8, 0xB0183778, 0xB01836F8, 0xB0183878)		 = 1 0
 2945/0x91565d0:  recvfrom(0x6, 0x6FF614, 0x2)		 = 2 0
 2945/0x91565d0:  __sysctl(0x46FEB4, 0x2, 0x46FE64)		 = 0 0
 2945/0x91565d0:  close(0x6)		 = 0 0
 2945/0x91565d0:  __sysctl(0x46FE64, 0x2, 0x46FCD4)		 = 0 0
 2945/0x91565d0:  __sysctl(0x46FE64, 0x2, 0x46F2D4)		 = 0 0
 2945/0x91565d0:  __sysctl(0x46F2D4, 0x2, 0x46FCD4)		 = 0 0
 2945/0x91565d0:  socket(0x2, 0x1, 0x0)		 = 6 0
 2945/0x91565d0:  setsockopt(0x6, 0xFFFF, 0x4)		 = 0 0
 2945/0x91565d0:  fcntl(0x6, 0x3, 0x0)		 = 2 0
 2945/0x91565d0:  fcntl(0x6, 0x4, 0x6)		 = 0 0
 2945/0x91565d0:  __sysctl(0x46FCD4, 0x2, 0x46FE64)		 = 0 0
 2945/0x91565d0:  connect(0x6, 0xB0183928, 0x10)		 = -1 Err#36
 2945/0x91565d0:  __sysctl(0x46F2D4, 0x2, 0x46FCD4)		 = 0 0
 2945/0x91565d0:  __sysctl(0x46FCD4, 0x2, 0x46FEB4)		 = 0 0
 2945/0x91565d0:  select(0x7, 0xB01837F8, 0xB0183778, 0xB01836F8, 0xB0183878)		 = 1 0
 2945/0xbb2dc80:  select(0x5, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
